favorite_count,retweet_count,tweet_id
10392,2702,781661833186930688
20665,5530,781524684185694209
8397,2073,781251271890235393
9772,2740,781163395106082816
21546,7261,780931599936458752
7158,1997,780858283800297472
5461,1296,780800773873668096
6270,1739,780543507299794944
0,3657,742423162642649089
0,112,780465675571605505
5275,1071,780459363064549377
8679,2226,780192040856543234
8754,3099,779377444025499652
14683,4506,779056089409196032
19847,7140,778990686406402048
6852,1296,778748901197160448
5732,1485,778650521737498624
4610,1005,778624895001436165
13558,4289,778408191155695616
0,12117,703041942922383361
5800,1094,778383379104407553
10310,3260,778286802910212101
8456,2616,778039065794977792
6516,1594,778027018185240576
6312,1616,777885031146586112
0,4200,750429289032642560
8680,2488,777621500824260608
14190,4275,777189753083092992
0,13559,679828437910089729
4847,1198,776813006122586112
8775,2749,776477764421582849
29667,15694,776218187788611584
9550,2505,776201512041189376
1826,151,776088309558874112
0,16377,733109473259085826
11628,2632,775842712763396096
13789,3957,775733297511067649
12913,4555,775729177962156032
7338,2932,775364811441967105
8546,1774,774757887117852673
6686,1719,774639367960850432
21615,5467,774314388044058624
10646,3825,773985718767149057
6348,1738,773922276815335424
6549,1614,773704673102557184
5316,1300,773670344028786688
23131,7413,773308813344645120
9400,3230,773247546009456640
9903,4078,773191601376137218
8492,3833,772874595468795904
7975,2327,772826251237199873
0,3353,765222089175556096
6434,1684,772581537120477184
5987,1375,772193097816150016
3775,1121,772152984096632836
3744,735,772117672238714880
2708,466,772114938034814977
3959,935,772102964165111808
8193,2581,771500959348449280
10385,5014,771380787874828288
0,7358,673320125483892736
9067,2896,771136641138319360
6191,1427,771102115905372160
6811,1637,771014280602853380
4889,1191,770787842972942337
5125,1405,770772746032873472
7276,1752,770655131100741632
6283,2079,770414268261011456
6173,1454,770293541604093952
0,3016,741067297519869955
7529,2270,770069132691795970
6363,1667,769695460001013760
5345,1700,769212274728964096
14205,6426,768967618174877700
4149,877,768855135757926400
4079,1180,768609590535680000
4998,1271,768596278481657856
13505,3374,768473849214140416
10766,3498,768193396825583616
4707,1366,767884178016927744
15857,5326,767754923563974658
7434,2318,767500493799231488
12194,3713,767191392800108546
10090,2821,767122150545391618
5004,1340,766793443951665152
3970,783,766693171900387328
5940,1563,766423252247994368
6719,1869,766313309717037056
0,2587,725842282449125380
4182,841,766069192135237633
3702,492,766008557347233792
7148,2130,765719895086596097
5135,1214,765669514012917760
26380,3347,765395759286149124
6995,2140,765371051345846272
6384,1758,764857472309948416
5953,1483,764259772866658304
5323,1450,763183833575481344
7287,2272,763103480118640640
11994,3563,762699853369581568
11097,6324,762471745303355393
10180,4118,762464530748145664
4751,1105,762316483720511488
31485,15334,762035577168560129
5338,1982,761976704302714881
0,3854,685325091882799104
4225,853,761745343629422592
48886,28641,761672828462718981
4085,1180,761599864782348294
0,17802,711694754292109313
5138,1434,761334013550268417
4433,1072,761292941797326848
5264,1545,761227386398633985
3772,959,760893927574605825
6511,1883,760656987008987136
4923,1276,760641126541983744
7477,3561,760539157622059009
26464,11290,760289324994879489
3904,857,760252748986220544
5627,1770,760190172482920448
14508,5564,759923789979262976
6652,1936,759846345045835776
5876,1878,759793413751472128
4629,1168,759557292580806657
8370,2422,759447672080175104
5997,1915,759197380596170757
0,1136,670319122597543936
